Intercept__0,beta_size__0,p_choose_last_seen_sd
48.2684281070363,-170.2906067348186,19.759686001086713
49.23513062376179,-171.22022260545197,22.232219380336197
47.171478693340134,-153.47863330362742,22.50818711503375
44.75294475039964,-161.34874303438303,18.195828147195215
43.946212878506394,-159.37271897441747,22.37557874782929
47.23592552985044,-180.496519462098,21.323095840415625
47.85348198300977,-153.91464738902891,21.175619784686575
45.42276132102149,-149.3656721017562,21.306173598790664
45.42276132102149,-149.3656721017562,21.306173598790664
45.42276132102149,-149.3656721017562,21.306173598790664
47.242242245701966,-155.73242732434335,22.119570152649185
49.58663260166593,-152.95432816453462,19.94898334514582
45.51597950574293,-185.82649481348344,21.776881893574547
51.589398633930685,-188.2754785918452,20.298362229537123
45.71346497037727,-125.6324868290345,21.739208211276008
49.497041761997416,-127.79259365478734,21.66518755632662
49.16488201698914,-128.41993425728654,21.247669582440516
49.33861644168843,-128.85699864405,21.497981545471312
51.42335845623177,-157.01065932032654,18.411210451376153
42.81743854968365,-144.30393264129575,22.102421651395126
43.00100011200146,-150.5726442550562,21.515096006236234
51.67111422492462,-156.66981485373634,20.716778225223603
52.167166582810914,-307.3109935770019,20.570724081429887
51.93045009020643,-254.56533124452199,19.77429902517649
51.93045009020643,-254.56533124452199,19.77429902517649
47.15345010126204,-159.47405900021008,20.130043239053755
46.6325317609747,-133.31945090381834,20.368606029820977
47.13549020528706,-142.23417988171136,22.64415447618431
43.02337100890376,-131.8701055811838,21.25596387368761
43.02337100890376,-131.8701055811838,21.25596387368761
44.45642319722428,-131.9357753515624,20.685453388545696
47.60744672570199,-125.79485949123044,21.09120147830563
42.299718144717524,-189.43110777154956,20.4566744487969
47.370968122713386,-190.86225850444802,21.210907092645893
46.1304388673436,-194.45231192523042,22.194739791162135
46.068376082325486,-179.81714001516067,22.50337591004121
52.41044431726112,-180.32435644326617,22.31780096236919
46.39887693219721,-172.07349262403335,19.61828125427446
46.70033724304378,-207.18874232773456,21.44059310169107
45.678926479521415,-34.11993878564194,19.75537899989979
46.620999706366284,-24.386096771083334,21.671339560793445
46.305863714870505,-23.56877510479458,21.943564693172696
45.84893837407367,-21.16230598940206,22.876236536415508
41.29666888023036,-20.279536574391066,22.485891455633602
45.551348721271054,-160.33692278421182,22.403645312969665
46.77862316202228,-154.80872668934842,18.25526634731559
47.85248938832518,-146.52479788696846,22.49777400578971
46.22185941769847,-154.69790546075825,18.967379432677113
48.194803602318174,-121.8060585846353,19.257244165593765
48.194803602318174,-121.8060585846353,19.257244165593765
45.839761499112754,-103.48602278165788,22.434115336341716
46.43401178765549,-98.5443109296358,19.044493892932696
44.38986596855286,-89.82204026826369,22.759051491657942
44.503759920793655,-66.81429092531103,19.68920243785241
50.02365865753691,-109.60347074617803,22.575884992076578
45.396016788787904,-99.67401186462162,22.38550096881862
47.524399733322916,-74.53497759729814,18.400136221984685
47.524399733322916,-74.53497759729814,18.400136221984685
46.80263086690585,-85.48294603622466,22.63704805124033
40.630798746343196,-74.85072532947929,21.992780241397604
50.61063459334136,-88.28940134898488,19.0696523658281
49.55265238771688,-82.18651474668975,19.342702408423587
49.55265238771688,-82.18651474668975,19.342702408423587
41.24979973243303,-81.70897829232429,21.359757843492485
46.84810027414302,-82.72277099134854,22.065316859695947
44.85345434351808,-89.25276047986532,20.928646294941057
50.12971128966759,-72.75316670691404,20.23540572418884
53.00645660459285,-276.7478921359417,21.460109520423057
55.36144889867006,-278.1099018304361,21.96616918378423
42.22399505028971,-203.0614717285169,20.479980260789027
48.099704867105416,-195.20892368940486,22.345951104972894
44.255271989548724,-196.9094598728961,20.44086550830519
47.048598595413765,-198.33784510714364,18.296891869108652
49.49469920409787,-185.9869912150917,22.141478435197257
49.944578948534435,-186.50910208490967,21.61586285840477
47.15557762312704,-113.31930161731032,20.293860496589826
42.37418873831797,-123.08673805294255,21.739111473678395
50.33349331363605,-116.16870203339519,21.454466593712596
43.67215188527637,-88.3249055493161,20.690079556696418
49.96809163325279,-82.07772889154434,21.204509888167696
51.02063011476856,-146.8415455920431,21.880569594752053
40.48975230818435,-125.9149802678987,21.866818049679704
51.16907190485086,-134.24111681744938,19.13999516217897
49.82153937846216,-132.3213791220022,19.06405619472721
49.82153937846216,-132.3213791220022,19.06405619472721
48.254279196411815,-95.24727335227631,18.784024557055265
47.78329552629096,-94.93050012929307,18.73513732103879
47.156014716704135,-72.11324885668307,20.73728847159168
45.097757191443975,-87.11959780441332,22.53079098865113
44.32726838629237,-87.68347690123036,22.680765597604807
42.307330219173195,-91.04998842220752,18.68080780463988
44.52174743338936,-94.19441012908716,20.370290382178535
51.96891278521084,-95.8491129822535,22.946372893874194
44.87112368469482,-96.66197368133078,22.607118067326294
47.98283675208704,-93.60989062424439,22.76537223181385
46.92449469491323,-99.05045401704679,22.64152267092822
45.9734290356141,-103.86001961700413,21.769632459846466
45.9734290356141,-103.86001961700413,21.769632459846466
45.9734290356141,-103.86001961700413,21.769632459846466
48.31556728608762,-99.47292829838179,20.159318650582208
48.059420545442855,-89.36643414210904,19.052639674278044
50.07238593772916,-279.3659326345412,21.812234606790867
44.7900232356223,-284.5175958796245,21.024239542374023
48.639612587192595,-283.86349365359126,19.677567853556567
48.639612587192595,-283.86349365359126,19.677567853556567
49.477454834582076,-289.0485602045738,21.28759178961927
47.06976342271427,-157.6736666260479,21.20284583522353
48.508409727371536,-153.40191804521044,19.817571765304237
48.531914559063864,-248.4269905396313,20.012345689359712
43.21157665213127,-247.38274209563994,20.592891438688852
54.043803520572,-237.45653672118422,20.67480696890439
56.53229738300757,-238.98165391694866,21.111543162357865
