Intercept__0,beta_size__0,RT_sd
5.347504656162422,-7.3409752111840385,1.9816074988583068
5.432983433112906,-11.57749606178678,1.816124776475224
5.509153030711453,-3.0524122504418063,1.876348565850078
5.185475925859134,-5.42624994894893,1.6980243164939246
5.526249686266198,-18.358165696329703,1.889222325402037
5.6601752275106545,-12.056074196449195,1.7018806566678013
5.449369303649927,-13.809437895685338,1.8755843877557032
5.7823505139837135,-12.65490069601672,1.884037985072418
5.481852916290324,-18.17640673883188,1.7549820714062665
5.8757211798798075,-20.88734212062766,1.8329674311311672
5.662218235426188,-15.202076581193019,1.9578558295445438
5.321495198499348,-10.1171461871338,1.9695643812062147
5.501166248977548,-18.425867149036502,1.9081495547372251
5.45856638583234,-18.792516514451208,1.7022171293847939
5.917708605750123,-18.718214849533116,1.7732067478123785
5.684624110359471,-21.68636805969666,1.9336248001707659
5.427608279215238,-18.98733880498694,1.949283131334026
5.23964909659416,-9.528300162347808,1.6626846158691908
5.4560049075258155,-6.602068071673095,1.9670990334224723
5.309973166401953,-7.445579646955789,1.879065278496316
5.604096085675454,-8.372604551769118,1.7437369138616265
5.339367465940766,-7.424141916900591,1.8373643352864815
5.625329552289735,-12.948985431084592,1.813997163016284
5.450584634975181,-13.609718074098486,1.7787505309169844
5.450584634975181,-13.609718074098486,1.7787505309169844
5.341711975525538,-3.850515529980172,1.9841247685867787
5.6435198614537585,-19.727150461087408,1.9740712169519257
5.582234499542459,-14.180408435049063,1.7505027553551336
5.582234499542459,-14.180408435049063,1.7505027553551336
5.582234499542459,-14.180408435049063,1.7505027553551336
5.903960295806507,-14.399077181339141,1.9060284348043763
5.75269047513138,-16.542781653593025,1.922210677073552
5.374287421402447,-17.85583822629242,1.8027839696750152
5.969503347174862,-19.12565277936778,1.8040909081760108
5.450793189478064,-13.78032314070077,1.8106738911850218
5.311308450782412,-9.233738185774252,1.7146445606523135
5.871583560224471,-12.059420505488823,1.8768241600422269
5.899181494288509,-12.127198994843157,1.6826101584706965
5.425209628189054,-4.050220066533006,1.9850875734113138
5.3242171136174665,-9.180733295726759,1.9993058263977543
5.497403263277691,-9.896137402062724,1.956187260873722
4.740316255980205,-6.730489907508414,1.9820943440135577
5.475390504100044,-5.9560719233549175,1.9308859263008333
5.321202690553912,-4.241552618836995,1.836668803451395
4.946106972983103,3.1699645488027404,1.9014406536310646
5.268410025238872,-8.990919487695884,1.7489770545358632
5.268410025238872,-8.990919487695884,1.7489770545358632
5.114695902178251,-9.573304791207205,1.670917899567299
5.527242891657054,-12.80627855805077,1.9213962654763732
5.63418181008452,-14.968426338168067,1.6271603312780656
5.63418181008452,-14.968426338168067,1.6271603312780656
5.865702277082784,-20.1196522973945,1.6154808423200469
5.570332858862316,-21.61421366096685,1.9417663122179674
5.309509552129894,-26.47343443746317,1.803827419846239
5.743749002705629,-31.609202154127168,1.9645395076168948
5.554275304146984,-8.470276565419262,1.6748219779271578
5.467846891462534,-5.265235362328624,1.938149165971058
5.54049636659715,-6.35902647461813,1.8913665412138605
5.260274097960528,-10.953721836366535,1.930818269756151
5.963766205588654,-5.992689509782679,1.8916414972803557
5.268100298957122,-9.611858955772169,1.975737368609221
6.01946270159643,-19.490288677125633,1.650017534847907
5.850977239666235,-23.35299944220904,1.773267766837463
5.850977239666235,-23.35299944220904,1.773267766837463
5.27553849975868,-16.851455142357718,1.7837907824341428
5.27553849975868,-16.851455142357718,1.7837907824341428
5.541890332565727,-11.274466205192484,1.8038571504763006
5.476674333869442,-7.2902178260369395,1.9730179086125987
5.001845528780604,-8.207780409027318,1.956746023293498
5.00128881046381,-0.4335953033231048,1.8059356090983874
5.895689508264294,-27.2380198125809,1.7832024061742828
5.611794215231854,-25.23129043314664,1.798615131696262
6.086146928891766,-29.35709021120421,1.8732131347348675
5.7059329184854946,-17.47666982469947,1.9267350521482822
5.6500025191087335,-24.076300250040056,1.9220035874910248
5.485131332488682,-9.836712080713452,2.007150803215932
5.946501893689129,-21.248595189327016,1.6130920868065155
5.23899064507904,-11.708175737831212,1.9055862118292197
5.886875580105694,-22.298862602305267,1.9945942750038268
5.58425398633891,-28.663138806128135,1.9463315363204057
5.753115797411775,-24.638161377586172,1.708725029486815
5.859922405656521,-12.797632092904324,1.8873752200961718
5.857261258208171,-13.763688774536815,1.841439005511067
6.01972435060538,-9.120389934977892,1.97141497549828
5.78838144901143,-16.244241607937933,1.771261588620822
5.57294934255175,-25.73974251502534,1.8298875756413795
5.6256220200302405,-13.942931450220154,1.7570951004938167
5.60405236655412,-10.515280306039813,1.6900762874426614
5.417193538177994,-11.214760270350972,1.5848102690727324
5.607080574520583,-18.973447016566087,1.9731038476449176
5.865807682602675,-13.832715371511455,2.006417551420783
